State,Number,Letter,Value,Quantity,Box
AL,120,G,$0.35 ,1,1
AL,120,J,$1.00 ,1,1
AL,120,K,$1.00 ,1,1
AL,220,L,$0.35 ,1,1
AL,560,T,$0.50 ,1,1
AL,560,Y,$0.35 ,1,1
AL,740,A,$0.50 ,1,1
AL,800,F,$0.35 ,2,1
AK,50,A,$1.00 ,1,1
AK,50,D,$1.00 ,1,1
AK,50,J,$1.50 ,1,1
AK,300,E,$3.00 ,1,1
AK,300,I,$2.00 ,1,1
AK,400,C,$1.25 ,1,1
AK,400,D,$1.25 ,1,1
AZ,80,A,$0.35 ,1,1
AZ,280,A,$0.50 ,1,1
AZ,375,C,$3.00 ,1,1
AZ,640,B,$0.35 ,1,1
AZ,640,C,$0.35 ,1,1
AZ,640,G,$0.60 ,1,1
AZ,640,H,$0.60 ,1,1
AZ,840,A,$0.50 ,1,1
AZ,840,B,$0.50 ,1,1
AZ,840,Cb,$0.50 ,1,1
AZ,840,E,$0.35 ,1,1
AZ,840,F,$0.50 ,1,1
AZ,840,G,$0.50 ,1,1
AZ,840,J,$1.50 ,1,1
AR,300,F,$8.50 ,1,1
AR,360,E,$0.35 ,1,1
AR,435,J,$0.35 ,1,1
AR,435,P,$3.00 ,1,1
AR,435,Q,$1.00 ,1,1
AR,450,B,$0.50 ,1,1
AR,480,P,$0.50 ,1,1
AR,480,Q,$0.35 ,1,1
AR,480,S,$0.75 ,1,1
CA,25,A,$6.00 ,1,1
CA,110,C,$2.50 ,1,1
CA,240,A,$0.35 ,1,1
CA,255,B,$0.50 ,1,1
CA,295,A,$1.00 ,1,1
CA,300,F,$0.35 ,1,1
CA,300,H,$0.35 ,1,1
CA,300,K,$0.35 ,1,1
CA,300,N,$0.35 ,1,1
CA,300,P,$0.50 ,1,1
CA,310,A,$0.50 ,1,1
CA,320,A,$0.35 ,1,1
CA,320,B,$0.35 ,1,1
CA,320,J,$0.35 ,1,1
CA,340,A,$1.00 ,1,1
CA,375,C,$2.00 ,1,1
CA,435,B,$0.50 ,1,1
CA,445,B,$0.35 ,1,1
CA,445,C,$0.35 ,1,1
CA,445,D,$0.35 ,1,1
CA,445,E,$0.35 ,1,1
CA,445,F,$0.35 ,1,1
CA,450,B,$0.35 ,1,1
CA,450,D,$4.00 ,1,1
CA,450,H,$0.35 ,1,1
CA,450,J,$0.35 ,1,1
CA,450,K,$0.35 ,1,1
CA,450,O,$0.35 ,1,1
CA,450,T,$4.00 ,1,1
CA,450,AH,$2.00 ,1,1
CA,450,AL,$2.00 ,1,1
CA,450,AM,$2.00 ,1,1
CA,450,AS,$2.00 ,1,1
CA,450,AT,$2.00 ,1,1
CA,450,BL,$2.00 ,1,1
CA,560,D,$1.00 ,1,1
CA,560,E,$2.00 ,1,1
CA,560,F,$2.00 ,1,1
CA,575,E,$0.35 ,1,1
CA,575,I,$0.35 ,1,1
CA,575,J,$0.35 ,1,1
CA,575,K,$0.35 ,1,1
CA,575,L,$0.35 ,1,1
CA,575,M,$0.35 ,1,1
CA,575,N,$0.35 ,1,1
CA,575,P,$0.35 ,1,1
CA,575,Q,$0.35 ,1,1
CA,575,R,$0.35 ,1,1
CA,590,A,$0.35 ,1,1
CA,620,B,$15.00 ,1,1
CA,630,G,$0.35 ,1,1
CA,710,A,$2.00 ,1,1
CA,712,A,$1.50 ,1,1
CA,712,B,$0.40 ,1,1
CA,712,C,$1.00 ,1,1
CA,712,D,$1.00 ,1,1
CA,715,J,$0.35 ,1,1
CA,715,M,$0.35 ,1,1
CA,715,P,$0.35 ,1,1
CA,715,Q,$0.35 ,1,1
CA,715,U,$0.35 ,1,1
CA,715,V,$0.35 ,1,1
CA,715,AB,$0.35 ,1,1
CA,715,AC,$0.35 ,1,1
CA,730,C,$1.00 ,1,2
CA,740,A,$1.10 ,1,2
CA,740,B,$0.75 ,1,2
CA,745,M,$0.35 ,1,2
CA,745,O,$0.35 ,1,2
CA,745,Q,$0.35 ,1,2
CA,745,T,$0.35 ,1,2
CA,745,U,$0.35 ,1,2
CA,745,W,$1.25 ,1,2
CA,745,Y,$5.00 ,1,2
CA,745,Z,$1.50 ,1,2
CA,745,AA,$1.50 ,1,2
CA,745,AE,$2.00 ,1,2
CA,760,D,$0.35 ,1,2
CA,760,E,$0.35 ,1,2
CA,760,F,$1.00 ,2,2
CA,760,G,$3.00 ,1,2
CA,760,H,$2.50 ,1,2
CA,760,J,$2.50 ,1,2
CA,760,O,$4.50 ,1,2
CA,760,W,$2.00 ,1,2
CA,775,F,$0.35 ,1,2
CA,775,J,$0.35 ,1,2
CA,775,M,$8.50 ,1,2
CA,775,N,$1.25 ,1,2
CA,775,O,$0.70 ,1,2
CA,775,P,$4.00 ,1,2
CA,775,Q,$2.50 ,1,2
CA,815,E,$0.35 ,1,2
CA,815,G,$0.35 ,1,2
CA,825,D,$0.35 ,1,2
CA,825,E,$0.35 ,1,2
CA,825,F,$0.35 ,1,2
CA,830,A,$1.00 ,1,2
CA,835,D,$0.35 ,1,2
CA,835,G,$0.45 ,1,2
CA,835,J,$0.45 ,1,2
CA,895,A,$0.35 ,1,2
CA,895,B,$0.35 ,1,2
CA,895,C,$0.35 ,1,2
CA,895,D,$0.35 ,1,2
CA,895,O,$1.00 ,1,2
CA,915,A,$0.75 ,1,2
CA,915,B,$1.00 ,1,2
CA,915,C,$1.00 ,1,2
CA,940,B,$1.00 ,1,2
CA,940,D,$0.50 ,1,2
CA,945,A,$0.35 ,1,2
CA,945,B,$0.35 ,1,2
CA,945,C,$0.35 ,1,2
CA,945,D,$0.35 ,1,2
CA,945,E,$0.35 ,1,2
CA,945,F,$0.35 ,1,2
CA,945,I,$7.50 ,1,2
CA,945,J,$0.35 ,1,2
CA,945,N,$0.50 ,1,2
CA,955,Aa,$1.00 ,1,2
CA,955,Ab,$1.00 ,1,2
CA,955,E,$1.00 ,1,2
CA,955,H,$2.00 ,1,2
CA,955,I,$1.00 ,1,2
CA,955,J,$1.00 ,1,2
CA,970,A,$1.00 ,1,2
CA,995,B,$0.50 ,1,2
CA,995,C,$0.50 ,1,2
CA,1000,AA,$0.50 ,1,2
CA,1000,AB,$0.50 ,1,2
CA,1000,AU,$1.00 ,1,2
CA,1000,AW,$1.00 ,1,2
CA,1000,AZ,$1.00 ,1,2
CA,1000,BA,$1.00 ,1,2
CA,1000,BB,$1.00 ,1,2
CA,1000,BD,$1.00 ,1,2
CA,1000,BF,$1.00 ,1,2
CA,1000,BH,$1.00 ,1,2
CA,1000,BI,$1.00 ,1,2
CA,1000,BJ,$1.00 ,1,2
CA,1000,BL,$1.00 ,1,2
CO,30,A,$2.00 ,1,2
CO,40,H,$1.00 ,1,2
CO,45,A,$2.00 ,1,2
CO,45,B,$2.00 ,1,2
CO,45,C,$2.00 ,1,2
CO,60,A,$0.35 ,1,2
CO,60,B,$0.35 ,1,2
CO,110,N,$0.50 ,1,2
CO,120,A,$0.35 ,1,2
CO,140,B,$0.35 ,1,2
CO,140,D,$0.35 ,1,2
CO,140,E,$0.35 ,1,2
CO,140,F,$0.35 ,1,2
CO,140,G,$0.35 ,1,2
CO,140,H,$0.35 ,1,2
CO,140,L,$0.75 ,1,2
